WARNING: 4 open meshes merged
     Merged: wing
     Merged: htail
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
18 Num Comps
18 Total Num Meshes
10758 Total Num Tris

2.172810193989515e+01             Total Mass
4.544271029839425e+00 -1.155872342967578e-03 4.195877100331465e-01       Center of Gravity
1.173886731951790e+02 8.732246559533979e+01 1.924439637355410e+02       Ixx, Iyy, Izz
3.940094224848920e-02 8.633086502331154e-01 9.975395002937887e-02       Ixy, Ixz, Iyz
2.172810193989515e+01             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
fuselage	1.129751512974440e+01	4.488682196712549e+00	-6.588471730140054e-17	-2.307870224235965e-17	3.301945576473421e+00	4.704092224421765e+01	4.747098962627124e+01	-2.492965151240690e-02	-5.021977638257877e-03	8.497068009194170e-02	1.129751512974440e+01
wing	5.683684748719039e+00	3.988419504052486e+00	-8.742699426589417e-16	8.045127134585182e-01	4.539075038415390e+01	2.358645238660471e+00	4.763039721883306e+01	-5.131962476377916e-03	2.810304053695335e-03	2.161360304784919e-02	5.683684748719039e+00
htail	9.028177139390818e-01	8.858218464425770e+00	-6.052582780509837e-17	6.400000000000016e-01	2.004098464816657e+00	2.579988661199971e-01	2.256908294835927e+00	5.991937079449241e-04	-3.142180993809104e-04	7.758513856461951e-04	9.028177139390818e-01
vtail	3.502025259633939e-01	8.754425883539170e+00	5.322095527469677e-17	1.635406242885048e+00	1.370384958297090e-01	2.190238578459126e-01	8.339455702185469e-02	1.677298031029767e-04	4.246096813597881e-02	-3.955682271916073e-05	3.502025259633939e-01
boom_R0	6.380115449572189e-01	4.121272901673570e+00	5.745612138410028e+00	9.623633060212786e-01	2.555646122551290e-02	1.247846470249678e+00	1.258062645414113e+00	-1.161866680100364e-04	-4.298024489160019e-03	4.990695439583162e-04	6.380115449572189e-01
boom_R1	5.816971398734019e-01	4.120667990991006e+00	3.748412401662783e+00	9.735163206073079e-01	1.669585176533319e-02	1.233908623077994e+00	1.236260052645783e+00	7.610074673527582e-04	-3.476814412212812e-03	-9.749829494088388e-05	5.816971398734019e-01
boom_R2	5.133910793825555e-01	4.074807655115131e+00	1.751083371698289e+00	9.856696701286641e-01	1.692235056144820e-02	1.196387492254677e+00	1.201880305877647e+00	4.819686807448011e-04	1.206817667450714e-03	1.706761559204995e-04	5.133910793825555e-01
boom_L0	6.380115449572155e-01	4.121272901673597e+00	-5.745612138410068e+00	9.623633060212838e-01	2.321532050593048e-02	1.248392118021966e+00	1.255175856922245e+00	1.977105569997547e-04	-4.286650909355694e-03	4.974217958689301e-04	6.380115449572155e-01
boom_L1	5.816971398734009e-01	4.120667990991017e+00	-3.748412401662780e+00	9.735163206073093e-01	1.667343563405429e-02	1.233905438190126e+00	1.236240821402374e+00	6.363097799502635e-04	-3.485278701616920e-03	3.181265753405347e-06	5.816971398734009e-01
boom_L2	5.133910793825560e-01	4.074807655115126e+00	-1.751083371698288e+00	9.856696701286612e-01	1.851868189364584e-02	1.196003026399302e+00	1.203861103065219e+00	-4.642883496270806e-04	1.232086436407311e-03	4.195155581496458e-05	5.133910793825560e-01
MeshGeom	2.768229310290345e-02	2.116540276969013e+00	-9.072554793111067e-01	7.612090779619206e-01	3.377557376484144e-01	5.052666075356913e-03	3.425094660262256e-01	6.226866804062800e-03	-2.086033697808583e-04	-1.016390695534811e-04	2.768229310290345e-02
MeshGeom	2.297861173955739e-17	7.880967958989717e+00	-7.672823529173726e-03	7.026642885231889e-01	3.739094541174028e-18	2.268936236043039e-18	5.531755214581068e-18	-8.850686801935458e-22	4.324210625392886e-20	-5.761943496929704e-20	2.297861173955739e-17
MeshGeom	2.280641237585791e-18	3.790227928825527e+00	5.781879181217835e+00	7.218469638477865e-01	2.663746725655512e-21	1.335661022422779e-19	1.361423092433546e-19	5.523202119082467e-22	2.556688683961561e-22	2.659061015530057e-22	2.280641237585791e-18
MeshGeom	3.481217180616502e-20	3.800379672024522e+00	3.499419362799864e+00	9.490880698174057e-01	1.173803701627436e-26	1.862425268332144e-21	1.862416972216884e-21	-2.316226817079920e-25	5.588124508810872e-25	-4.151987011705795e-27	3.481217180616502e-20
MeshGeom	5.874909520175286e-19	5.320610204863888e+00	1.576202764174603e+00	8.428832961342215e-01	2.782293190077802e-24	3.142946898636870e-20	3.142750253959730e-20	1.216228784917619e-23	-2.934271303305866e-23	-9.841547757897705e-25	5.874909520175286e-19
MeshGeom	2.617289728087224e-18	3.791583750201021e+00	-5.794258769041716e+00	7.220607572901511e-01	3.117506145637150e-22	1.515903731368463e-19	1.518275097636785e-19	-1.606089772346140e-21	5.320600359223670e-22	-9.983978230047659e-23	2.617289728087224e-18
MeshGeom	1.757694833041147e-18	4.297241829038283e+00	-3.505403377542701e+00	9.316781014516612e-01	4.068625029915682e-22	1.031234730761735e-19	1.028349275512419e-19	-7.066650525002700e-23	-2.229718548911952e-22	1.433578187718054e-22	1.757694833041147e-18
MeshGeom	6.732141155759404e-19	5.320614821586390e+00	-1.588780547363368e+00	8.326956735956176e-01	1.213371018015502e-21	3.649557119259489e-20	3.674271866566780e-20	1.702682524737348e-24	7.177560622446090e-25	5.927235372104950e-22	6.732141155759404e-19
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	2.172810193989515e+01	4.544271029839425e+00	-1.155872342967578e-03	4.195877100331465e-01	1.173886731951790e+02	8.732246559533979e+01	1.924439637355410e+02	3.940094224848920e-02	8.633086502331154e-01	9.975395002937887e-02	2.172810193989515e+01

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.533623907078042e-01	5.064385885543393e-02	2.533623907078043e-01	2.401750853404145e-17	2.314779374032964e-17	1.139297333080356e-03	3.250607751298866e-03	3.306949517608508e-03	5.513030604032020e-05	-7.587398256908301e-06	1.110576522290534e-05	5.064385885543393e-02
7.600871721234126e-01	3.269459696774083e-01	6.815956148367956e-01	1.047691978522308e-17	2.553197360981858e-17	3.225689338839378e-02	4.208172943325802e-02	4.713336522438619e-02	3.036171654048664e-04	-4.369519190337747e-05	8.885852000223463e-04	3.269459696774083e-01
1.266811953539021e+00	8.289011632051885e-01	1.035983319413075e+00	5.574119173374344e-17	2.681304438217185e-17	1.345286488531636e-01	1.789824919892725e-01	2.018202118050403e-01	7.909195766166127e-04	-1.022089806198623e-04	5.245070359322608e-03	8.289011632051885e-01
1.773536734954629e+00	1.727916715609692e+00	1.419724031746516e+00	-1.180590737584546e-02	1.219447369746526e-01	4.057390283273478e+00	7.118460100301575e-01	4.157208343460950e+00	-7.331855882158089e-03	7.406499717552542e-02	-1.459488616014458e-03	1.727916715609692e+00
